,,,,,
Course ID,Title,Section,Lecturer,Schedule,Language
MGT-391,E-Business,1,Housard D.,Tu 18:00-21:00,English
MGT-391,E-Business,2,Housard D.,We 18:00-21:00,English
MIS-155,Introduction to Transformative Technologies,2,Housard D.,Tu 15:00-18:00,English
MIS-155,Introduction to Transformative Technologies,3,Housard D.,Fr 18:00-21:00,English
MIS-390,E-Business,1,Housard D.,Tu 18:00-21:00,English
MIS-390,E-Business,2,Housard D.,We 18:00-21:00,English
ACCT-312,Advanced Management and Cost Accounting,1,Iacovidou Melpo,We 12:00-15:00,English
ACCT-499,Accounting Practicum,1,Iacovidou Melpo,Not Scheduled,English
MBAN-550DE,Foundations in Accounting,1,Iacovidou Melpo,Dist. Learning,English
MBAN-550DG,?????????,1,Iacovidou Melpo,Dist. Learning,Greek
MBAN-612DG,????????????????? ??? ?????????? ?????????,1,Iacovidou Melpo,Dist. Learning,Greek
MBAN-630DG,????????????????? ??? ?????????? ?????????,1,Iacovidou Melpo,Dist. Learning,Greek
MBAN-630DG,????????????????? ??? ?????????? ?????????,2,Iacovidou Melpo,Dist. Learning,Greek
BLOC-514DL,Emerging Topics in Blockchain and Digital Currency,1,Iosif Elias,Dist. Learning,English
BLOC-514DL,Emerging Topics in Blockchain and Digital Currency,2,Iosif Elias,Dist. Learning,English
BLOC-551DL,Master Thesis,2,Iosif Elias,Not Scheduled,English
COMP-549DL,Artificial Intelligence,1,Iosif Elias,Dist. Learning,English
SPRT-402,Sports Facilities Management,1,Kakourides G.,We 12:00-15:00,English
MBAN-660,Corporate Strategy,1,Karamanos N.,Th 18:00-21:00,English
MBAN-660DE,Corporate Strategy,1,Karamanos N.,Dist. Learning,English
MBAN-685,Corporate Strategy,1,Karamanos N.,Th 18:00-21:00,English
BADM-121,Business Ethics,1,Karletidou N.,Tu 15:00-18:00,English
HRM-485,Performance Management and Compensation,1,Karletidou N.,Mo 18:00-21:00,English
MGT-450,Quality Management,1,Karletidou N.,Th 18:00-21:00,English
MGT-472DL,Change Management,1,Karletidou N.,Dist. Learning,English
MGT-482,Human Resource Management,1,Karletidou N.,Tu 09:00-12:00,English
MGT-482DL,Human Resource Management,1,Karletidou N.,Dist. Learning,English
PHD-803S,"Research Philosophy, Methodology and Met",1,Kaufmann Hans-Rudiguer,Not Scheduled,English
ECON-262,Principles of Macroeconomics,6,Kero A.,Th 09:00-12:00,English
IMGT-486,Quantitative Methods,1,Kogetsidis Harry,We 15:00-18:00,English
IMGT-486,Quantitative Methods,2,Kogetsidis Harry,Fr 12:00-15:00,English
IMGT-488,Operations Management,1,Kogetsidis Harry,We 12:00-15:00,English
IMGT-488DL,Operations Management,1,Kogetsidis Harry,Dist. Learning,English
MGT-281,Introduction to Management,3,Kogetsidis Harry,Fr 15:00-18:00,English
MBAN-671,Business Processes and Systems,1,Kokkinaki Angelika,Th 18:00-21:00,English
MBAN-736,Enterprise Information Systems,1,Kokkinaki Angelika,Th 18:00-21:00,English
MBAN-736DG,???????????? ????????? ??? ??? ?¹???????? ??????????? ???? ?¹??????????,1,Kokkinaki Angelika,Dist. Learning,Greek
PHD-806S,Thesis,9,Kokkinaki Angelika,Not Scheduled,English
MBAN-671DG,?¹???????????? ??????????? ??? ?????????,1,Kokkinaki A. & T.,Dist. Learning,Greek
MBAN-671DG,?¹???????????? ??????????? ??? ?????????,2,Kokkinaki A. & T.,Dist. Learning,Greek
MBAN-671DG,?¹???????????? ??????????? ??? ?????????,3,Kokkinaki A. & T.,Dist. Learning,Greek
BADM-234,Organizational Behavior,1,Komodromos Marcos,Tu 12:00-15:00,English
BADM-234,Organizational Behavior,3,Komodromos Marcos,We 18:00-21:00,English
BADM-493,Final Year Project,4,Komodromos Marcos,Not Scheduled,English
COMM-241,Communication and Media Research Methods,1,Komodromos Marcos,Tu 15:00-18:00,English
COMM-325,Event Management,1,Komodromos Marcos,Mo 12:00-15:00,English
COMM-445,"Internship in PR, Advertising and Market",1,Komodromos Marcos,Th 12:00-15:00,English
MBAN-740DG,???????? ??? ??????????,1,Komodromos Marcos,Dist. Learning,Greek
MBAN-752,Marketing Communications,1,Komodromos Marcos,Tu 18:00-21:00,English
MBAN-752DE,Marketing Communications,1,Komodromos Marcos,Dist. Learning,English
MCOM-595,Thesis,2,Komodromos Marcos,Not Scheduled,English
MKTG-291,Marketing,1,Komodromos Marcos,Mo 09:00-12:00,English
MKTG-291,Marketing,3,Komodromos Marcos,We 12:00-15:00,English
MKTG-291DL,Marketing,1,Komodromos Marcos,Dist. Learning,English
MKTG-390,Digital Marketing,1,Komodromos Marcos,Mo 15:00-18:00,English
MKTG-390,Digital Marketing,2,Komodromos Marcos,We 15:00-18:00,English
PHDS-100,Doctoral Course - Spring semester,57,Komodromos Marcos,Not Scheduled,English
MBAN-710DE,Decision Making Methods and Tools,1,Komodromou Janell,Dist. Learning,English
SPRT-404,Analysis of the Sports Industry,1,Korellis Georgios,Mo 12:00-15:00,English
BLOC-516DL,"Principles of Money, Banking and Finance",1,Kourtis Apostolos,Dist. Learning,English
BLOC-516DL,"Principles of Money, Banking and Finance",2,Kourtis Apostolos,Dist. Learning,English
BLOC-527DL,Open and Decentralized Financial Systems,1,Kourtis A. & G.,Dist. Learning,English
MBAN-769DG,????????? ???????????,3,Kretsos Lefteris,Dist. Learning,Greek
MBAN-769DG,????????? ???????????,4,Kretsos Lefteris,Dist. Learning,Greek
MBAN-770DG,???????? ??? ???????? ?????¹???? ?????????,2,Kretsos Lefteris,Dist. Learning,Greek
BADM-486,Task-Based Internship,1,Ktoridou Despo,Not Scheduled,English
BADM-489,Task-Based Internship,1,Ktoridou Despo,Not Scheduled,English
BADM-493,Final Year Project,5,Ktoridou Despo,Not Scheduled,English
MBAN-789,Management of Technological Innovation,1,Ktoridou Despo,Tu 18:00-21:00,English
MBAN-789DE,Management of Technological Innovation,1,Ktoridou Despo,Dist. Learning,English
MBAN-789DG,?????????? ???????????? ???????????,1,Ktoridou Despo,Dist. Learning,Greek
MIS-220,Technologies for the Social Web,1,Ktoridou Despo,Tu 12:00-15:00,English
MIS-256,Website Development Process,1,Ktoridou Despo,Mo 12:00-15:00,English
MKTG-220,Technologies for the Social Web,1,Ktoridou Despo,Tu 12:00-15:00,English
MKTG-256,Website Development Process,1,Ktoridou Despo,Mo 12:00-15:00,English
MIS-450,Digital Transformation Management,1,Kyriacou D.,We 09:00-12:00,English
MIS-456,Management of Information Systems,1,Kyriacou D.,We 12:00-15:00,English
ACCT-420,Business Taxation,1,Lambrou A.,Th 18:00-21:00,English
THOM-361,Nutrition for Optimal Health and Exercis,1,Lappa F.,Tu 09:00-12:00,English
THOM-361,Nutrition for Optimal Health and Exercis,1,Lappa F.,Tu 09:00-12:00,English
ACCT-111,Accounting II (sections 01 and 06 for the ACCOUNTING students),1,Lois Petros,We 09:00-12:00,English
ACCT-111,Accounting II (sections 01 and 06 for the ACCOUNTING students),6,Lois Petros,Tu 09:00-12:00,English
ACCT-231,Accounting Information Systems (section 01: for ACCOUNTING students),1,Lois Petros,We 15:00-18:00,English
ACCT-470,Special Topics in Accounting,1,Lois Petros,Not Scheduled,English
ACCT-499,Accounting Practicum,2,Lois Petros,Not Scheduled,English
BADM-491B,Special Topics in Business,1,Lois Petros,Not Scheduled,English
BADM-493DG,??¹???????? ???????,1,Lois Petros,Dist. Learning,Greek
MBAN-622DG,????????????????? ????????,1,Lois Petros,Dist. Learning,Greek
MBAN-640DG,????????????????? ????????,1,Lois Petros,Dist. Learning,Greek
MBAN-640DG,????????????????? ????????,2,Lois Petros,Dist. Learning,Greek
MBAN-750DE,Thesis in Finance,1,Lois Petros,Dist. Learning,English
ACCT-111,Accounting II (sections 01 and 06 for the ACCOUNTING students),2,Loizides G.,Th 18:00-21:00,English
ACCT-111,Accounting II (sections 01 and 06 for the ACCOUNTING students),5,Loizides G.,We 18:00-21:00,English
ACCT-111DL,Accounting II,1,Loizides G.,Dist. Learning,English
MBAN-758,Working Capital Management,1,Loizides G.,Tu 18:00-21:00,English
BLOC-529DL,Decentralized Finance,1,Louca Soulla,Dist. Learning,English
BLOC-551DL,Master Thesis,1,Louca Soulla,Not Scheduled,English
MBAN-751DE,Corporate Social Responsibility,1,Magrizos Solon,Dist. Learning,English
MBAN-752DG,?????????? ?¹???????????? ?¹??????????,1,Magrizos Solon,Dist. Learning,Greek
MBAN-752DG,?????????? ?¹???????????? ?¹??????????,2,Magrizos Solon,Dist. Learning,Greek
MKTG-370,Omnichannel Retailing,1,Makrides A.,Th 18:00-21:00,English
ACCT-231,Accounting Information Systems (section 01: for ACCOUNTING students),2,Malekkos G.,Tu 18:00-21:00,English
ACCT-231DL,Accounting Information Systems,1,Malekkos G.,Dist. Learning,English
PHD-806S,Thesis,10,Melanthiou Y.,Not Scheduled,English
MIS-155,Introduction to Transformative Technologies,1,Melillos Georgios,Mo 09:00-12:00,English
MBAN-630DE,Financial and Managerial Accounting,1,Memtsa Chrysi,Dist. Learning,English
MBAN-630DG,????????????????? ??? ?????????? ?????????,3,Memtsa Chrysi,Dist. Learning,Greek
ACCT-330,Corporate Law,1,Michaelidou K.,Tu 09:00-12:00,English
BADM-230,Business Law (section 03 for Accounting students only),3,Michaelidou K.,Mo 12:00-15:00,English
HRM-486,Employment Law and Employee Relations,1,Michaelidou K.,Mo 09:00-12:00,English
MBAN-610,Organizations and HR Management,1,Michailidis Maria,Th 18:00-21:00,English
MBAN-741DG,?????¹??? ???????? ??? ?????????? ???¹????,1,Michailidis Maria,Dist. Learning,Greek
MBAN-770,Thesis in HRM,1,Michailidis Maria,Not Scheduled,English
MBAN-770DG,???????? ??? ???????? ?????¹???? ?????????,1,Michailidis Maria,Dist. Learning,Greek
MBAN-779,Managing Diversity in Organizations,1,Michailidis Maria,Tu 18:00-21:00,English
MBAN-610DE,Organizations and HR Management,1,Michailidis M. & M.,Dist. Learning,English
